dataset,model,condition,arm,bg,explainer,deterministic,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,floor_mean,floor_min,between_mean,between_sd,delta,p_value,p_adj,n_matchings,disattenuated,weighted_between,weighted_within,max_nonzero_per_row,seed_delta_max,status,verdict,top_feature,note
creditcard,fedxgbllr,dirichlet,none,local,kernel,False,5,cda9853bf9a63276,529651a852144c96,a74b400c56313f2e,0.9658,0.8,0.856,0.9131,0.9012,0.9658,0.0392,-0.0527,0.6974,0.7424,945,1.0577,0.9821,0.9752,30,undefined,ok,noise_limited,V4,
creditcard,fedxgbllr,dirichlet,smote,local,kernel,False,5,e893b6c2d55d84a4,529651a852144c96,a74b400c56313f2e,0.9436,0.6286,0.712,0.9936,0.992,0.9436,0.0218,0.05,0.0011,0.0015,945,0.9497,0.9417,0.9978,30,undefined,ok,clients_differ,V4,
creditcard,fedxgbllr,iid,none,local,kernel,False,5,9009951f3b28d8a1,529651a852144c96,7b688054df33b633,0.9723,1.0,1.0,0.8555,0.8331,0.9723,0.0188,-0.1168,0.8772,0.8772,945,1.1365,0.9524,0.9726,30,undefined,ok,noise_limited,V14,
creditcard,fedxgbllr,iid,smote,local,kernel,False,5,fa14720fe86f0789,529651a852144c96,7b688054df33b633,0.9354,0.8667,0.904,0.9973,0.9956,0.9354,0.0214,0.062,0.0011,0.0015,945,0.9379,0.9576,0.9988,30,undefined,ok,clients_differ,V14,
creditcard,ffd,centralized,none,local,kernel,False,1,bca6c9245bd604f6,529651a852144c96,n/a (centralized,undefined,undefined,undefined,0.9996,0.9996,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,30,undefined,ok,single_client,V14,
creditcard,ffd,centralized,smote,local,kernel,False,1,634dc39a0a107008,529651a852144c96,n/a (centralized,undefined,undefined,undefined,1.0,1.0,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,30,undefined,ok,single_client,V4,
creditcard,ffd,dirichlet,none,local,kernel,False,5,d7e2d8e3e629570f,529651a852144c96,a74b400c56313f2e,0.9924,1.0,1.0,0.9999,0.9996,0.9924,0.0022,0.0075,0.0011,0.0015,945,0.9925,0.9877,0.9999,30,undefined,ok,clients_differ,V14,
creditcard,ffd,dirichlet,smote,local,kernel,False,5,f80b7b253bef0934,529651a852144c96,a74b400c56313f2e,0.9877,0.8333,0.88,0.9994,0.9987,0.9877,0.0046,0.0116,0.0011,0.0015,945,0.9884,0.9846,0.9994,30,undefined,ok,clients_differ,V4,
creditcard,ffd,iid,none,local,kernel,False,5,2360edbffbc9ed7a,529651a852144c96,7b688054df33b633,0.9906,0.581,0.664,0.9995,0.9987,0.9906,0.0034,0.0089,0.0011,0.0015,945,0.9911,0.9825,0.9993,30,undefined,ok,clients_differ,V14,
creditcard,ffd,iid,smote,local,kernel,False,5,fd7b7f839a23fa9e,529651a852144c96,7b688054df33b633,0.9945,0.7667,0.832,0.9998,0.9996,0.9945,0.0019,0.0053,0.0011,0.0015,945,0.9947,0.9924,0.9999,30,undefined,ok,clients_differ,V4,
creditcard,gbm,centralized,none,local,tree,True,1,a300fa18a31e92e1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V14,
creditcard,gbm,centralized,smote,local,tree,True,1,f6741816dc4281e1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V4,
creditcard,gbm,dirichlet,none,local,tree,True,5,b0d284b6ddb435a0,529651a852144c96,a74b400c56313f2e,0.9287,0.4702,0.544,1.0,1.0,0.9287,0.0625,0.0713,undefined,n/a,0,undefined,0.8253,1.0,n/a,0.0,ok,exact_reference,V14,
creditcard,gbm,dirichlet,smote,local,tree,True,5,6076fecf72487661,529651a852144c96,a74b400c56313f2e,0.9887,0.8667,0.904,1.0,1.0,0.9887,0.0035,0.0113,undefined,n/a,0,undefined,0.9868,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,gbm,iid,none,local,tree,True,5,c7037a68438fadc9,529651a852144c96,7b688054df33b633,0.987,0.6048,0.688,1.0,1.0,0.987,0.0094,0.013,undefined,n/a,0,undefined,0.8014,1.0,n/a,0.0,ok,exact_reference,V17,
creditcard,gbm,iid,smote,local,tree,True,5,be19f5f85ca6ff29,529651a852144c96,7b688054df33b633,0.9722,0.7667,0.832,1.0,1.0,0.9722,0.0208,0.0278,undefined,n/a,0,undefined,0.9721,1.0,n/a,0.0,ok,exact_reference,V12,
creditcard,lr,centralized,none,local,linear,True,1,b6846f1d83e498e9,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V4,
creditcard,lr,centralized,smote,local,linear,True,1,74fe21c3a78e2da6,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V4,
creditcard,lr,dirichlet,none,local,linear,True,5,787168698dde6995,529651a852144c96,a74b400c56313f2e,0.9982,1.0,1.0,1.0,1.0,0.9982,0.0007,0.0018,undefined,n/a,0,undefined,0.997,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,lr,dirichlet,smote,local,linear,True,5,89586605816551c0,529651a852144c96,a74b400c56313f2e,0.9969,1.0,1.0,1.0,1.0,0.9969,0.0018,0.0031,undefined,n/a,0,undefined,0.9964,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,lr,iid,none,local,linear,True,5,1b6e343cc4737cd2,529651a852144c96,7b688054df33b633,0.9965,1.0,1.0,1.0,1.0,0.9965,0.0024,0.0035,undefined,n/a,0,undefined,0.9969,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,lr,iid,smote,local,linear,True,5,04ca2e5922efb90b,529651a852144c96,7b688054df33b633,0.997,1.0,1.0,1.0,1.0,0.997,0.0012,0.003,undefined,n/a,0,undefined,0.9969,1.0,n/a,0.0,ok,exact_reference,V4,
creditcard,svm,centralized,none,local,linear,True,1,031e807531a97bcf,529651a852144c96,n/a (centralized,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,n/a,0,undefined,undefined,undefined,n/a,0.0,ok,single_client,V10,
