dataset,model,scheme,alpha,oversampling,random_seed,rounds_configured,num_clients,best_round,best_val_auprc,best_val_f1,best_val_precision,best_val_recall,test_auprc,test_f1,test_precision,test_recall,test_brier,test_cal_intercept,test_cal_slope,threshold_policy,threshold,data_hash,partition_hash,rounds_completed,n_iter_selected,n_clients_below_smote_floor,baseline_auprc,timestamp,duration_seconds,run_name
paysim,svm,iid,,none,42,20.0,5,2.0,0.4871553035628734,0.5529157667386609,0.8258064516129032,0.4155844155844156,0.3112457274442913,0.3856554967666079,0.6993603411513859,0.2662337662337662,,,,val_f1_tuned,-12.217722170589148,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-28T18:40:41Z,33.66,svm_iid_alpha-_none_seed42
paysim,svm,iid,,smote,42,20.0,5,16.0,0.6518669561197069,0.640926640926641,0.7904761904761904,0.538961038961039,0.6324118658244611,0.6225949679329058,0.7937106918238994,0.5121753246753247,,,,val_f1_tuned,-0.0677551071846096,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-28T18:38:47Z,34.756,svm_iid_alpha-_smote_seed42
paysim,svm,dirichlet,0.5,smote,42,20.0,5,1.0,0.6102773036736819,0.6144465290806754,0.7277777777777777,0.5316558441558441,0.5721737383617795,0.573536645351697,0.7278401997503121,0.4732142857142857,,,,val_f1_tuned,-15.107564067332,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-28T18:39:42Z,48.597,svm_dirichlet_alpha0.5_smote_seed42
paysim,svm,dirichlet,0.5,none,42,20.0,5,3.0,0.6128813715946031,0.6215962441314554,0.7371937639198218,0.5373376623376623,0.5770397107193386,0.5869565217391305,0.7024886877828054,0.5040584415584416,,,,val_f1_tuned,-17.060265204560338,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-28T18:41:36Z,48.533,svm_dirichlet_alpha0.5_none_seed42
paysim,lr,iid,,none,42,20.0,5,2.0,0.6282693969557192,0.6237623762376238,0.799492385786802,0.5113636363636364,0.6124840701701699,0.6011207335710647,0.8071135430916553,0.4788961038961039,0.0007120501376206,-0.0863436647818175,0.996265412203016,val_f1_tuned,0.2887419271483394,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-28T18:37:01Z,27.584,lr_iid_alpha-_none_seed42
paysim,lr,dirichlet,0.5,smote,42,20.0,5,2.0,0.6338996291036932,0.6382153249272551,0.7927710843373494,0.5340909090909091,0.5953338595734647,0.6071784646061814,0.7868217054263565,0.4943181818181818,0.0008592784191721,5.945274443430511,1.3901770965367095,val_f1_tuned,0.0070721980289116,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-28T18:36:17Z,34.678,lr_dirichlet_alpha0.5_smote_seed42
paysim,lr,dirichlet,0.5,none,42,20.0,5,3.0,0.6296560639445596,0.6306306306306306,0.758266818700114,0.5397727272727273,0.6007620182668731,0.6075322101090188,0.7798982188295165,0.497564935064935,0.0008316066237268,4.479958687516506,1.357796259795609,val_f1_tuned,0.0179272396253014,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-28T18:37:48Z,34.291,lr_dirichlet_alpha0.5_none_seed42
paysim,lr,iid,,smote,42,20.0,5,9.0,0.6745295711087594,0.6567299006323396,0.7403258655804481,0.5900974025974026,0.6559662729485859,0.6418390804597701,0.7401908801696713,0.5665584415584416,0.0009328944899683,-2.098446132523216,0.9745090750720355,val_f1_tuned,0.6852554803346903,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-28T18:35:36Z,35.577,lr_iid_alpha-_smote_seed42
paysim,bert_fraud,dirichlet,0.5,none,42,20.0,5,18.0,0.8970341654554853,0.8442844284428442,0.9474747474747476,0.7613636363636364,0.6600276403084812,0.7033078880407124,0.9427012278308322,0.5608766233766234,0.000647120482017,3.1255855190656034,0.7905068932224284,val_f1_tuned,0.0347537510097026,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,09ff2c0d5af4f6c67a18c74b29d039de3d77792c9982884d2097585e32c2e7de,20.0,,2.0,0.0012908728374998,2026-07-29T16:21:47Z,12392.413,bert_fraud_dirichlet_alpha0.5_none_seed42
paysim,bert_fraud,iid,,smote,42,20.0,5,13.0,0.9315996755223512,0.8740293356341674,0.932780847145488,0.8222402597402597,0.9163047495878338,0.8609745194456861,0.9582089552238806,0.7816558441558441,0.0003684344889342,-1.6567215901673744,0.9603321049160094,val_f1_tuned,0.8474889993667603,dd257865dfff5b8fbbd7db8558d2ffd74b5ca30eb09a013886c52349f35e9fa5,bca1e67969caa7a806e137f6f73387ccbbc9421d6ef1609b17d15af8c05a8367,20.0,,0.0,0.0012908728374998,2026-07-29T05:12:07Z,9169.142,bert_fraud_iid_alpha-_smote_seed42
