dataset,model,condition,arm,explainer,n_clients,manifest_sha256,data_hash,partition_hash,spearman,jaccard_at5,kuncheva,noise_floor,below_floor,top_feature,stability_note
creditcard,gbm,centralized,smote,tree,1,f6741816dc4281e1,529651a852144c96,n/a (centralized,undefined,undefined,undefined,n/a,n/a,V4,fewer than 2 clients
baf,fedxgbllr,dirichlet,smote,kernel,5,aaeeb4a326e959bd,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9708,0.6762,0.78,0.973,True,housing_status_BA,
baf,fedxgbllr,dirichlet,none,kernel,5,595526c1979e8a4f,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9443,0.7333,0.824,0.973,True,housing_status_BA,
baf,ffd,dirichlet,smote,kernel,5,e5f5362322729942,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9651,0.8,0.868,0.9966,True,housing_status_BB,
baf,ffd,centralized,none,kernel,1,2be379d06a02b50f,b3e0d335cd39bbe7,n/a (centralized,n/a,n/a,n/a,0.9966,n/a,prev_address_months_count_missing,
baf,fedxgbllr,iid,none,kernel,5,528372ea4204ab73,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9665,0.6286,0.736,0.973,True,housing_status_BA,
baf,ffd,dirichlet,none,kernel,5,375cb56c28c7abcc,b3e0d335cd39bbe7,2a1e43d2c0e3b2d5,0.9795,0.8667,0.912,0.9966,True,phone_home_valid,
baf,ffd,iid,none,kernel,5,97a54229f021c535,b3e0d335cd39bbe7,cd5b049a3e8a4b5f,0.9794,0.8,0.868,0.9966,True,prev_address_months_count_missing,
creditcard,fedxgbllr,dirichlet,smote,kernel,5,e893b6c2d55d84a4,529651a852144c96,a74b400c56313f2e,0.9358,0.6286,0.712,0.973,True,V4,
creditcard,ffd,centralized,smote,kernel,1,634dc39a0a107008,529651a852144c96,n/a (centralized,n/a,n/a,n/a,0.9966,n/a,V4,
creditcard,fedxgbllr,dirichlet,none,kernel,5,cda9853bf9a63276,529651a852144c96,a74b400c56313f2e,0.9602,0.8,0.856,0.973,True,V4,
creditcard,ffd,dirichlet,smote,kernel,5,f80b7b253bef0934,529651a852144c96,a74b400c56313f2e,0.9923,0.8,0.856,0.9966,True,V4,
creditcard,ffd,centralized,none,kernel,1,bca6c9245bd604f6,529651a852144c96,n/a (centralized,n/a,n/a,n/a,0.9966,n/a,V14,
creditcard,fedxgbllr,iid,none,kernel,5,9009951f3b28d8a1,529651a852144c96,7b688054df33b633,0.9374,1.0,1.0,0.973,True,V14,
creditcard,fedxgbllr,iid,smote,kernel,5,fa14720fe86f0789,529651a852144c96,7b688054df33b633,0.9342,0.8667,0.904,0.973,True,V14,
creditcard,ffd,dirichlet,none,kernel,5,d7e2d8e3e629570f,529651a852144c96,a74b400c56313f2e,0.9941,1.0,1.0,0.9966,True,V14,
creditcard,ffd,iid,smote,kernel,5,fd7b7f839a23fa9e,529651a852144c96,7b688054df33b633,0.9919,0.7333,0.808,0.9966,True,V4,
creditcard,ffd,iid,none,kernel,5,2360edbffbc9ed7a,529651a852144c96,7b688054df33b633,0.9905,0.6048,0.688,0.9966,True,V14,
paysim,fedxgbllr,dirichlet,smote,kernel,5,3bec39a4456065da,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.756,0.6714,0.6425,0.973,True,errorBalanceOrig,
paysim,ffd,centralized,smote,kernel,1,9d37fdfbc81e4716,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,0.9966,n/a,newbalanceDest,
paysim,fedxgbllr,dirichlet,none,kernel,5,0df1f56e0b271090,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.8181,0.6714,0.6425,0.973,True,errorBalanceOrig,
paysim,ffd,dirichlet,smote,kernel,5,2c4714daa0689e42,dd257865dfff5b8f,09ff2c0d5af4f6c6,0.9418,0.6952,0.675,0.9966,True,type_CASH_IN,
paysim,ffd,centralized,none,kernel,1,2442e7fa4ef3e25b,dd257865dfff5b8f,n/a (centralized,n/a,n/a,n/a,0.9966,n/a,newbalanceDest,
